Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Region_Code,Model_Code,Source_Type_Code
2018,2,Middle East,Model 3,8065.0,8093.0,108446.3,82,490,592.78,Official (Quarter),4625,2,1,2
2019,9,Asia,Model Y,7202.0,7646.0,66402.75,100,550,594.16,Estimated (Region),13552,0,4,0
2024,1,Middle East,Model Y,15113.0,17144.0,79023.4,120,661,1498.45,Official (Quarter),13341,2,4,2
2025,10,Europe,Cybertruck,16403.0,17990.0,89023.22,100,582,1431.98,Estimated (Region),10354,1,0,0
2021,12,Asia,Model X,11729.0,12498.0,78248.4,120,668,1175.25,Interpolated (Month),9081,0,3,1
2022,11,Europe,Model S,10605.0,11896.0,100323.49,82,480,763.56,Estimated (Region),4202,1,2,0
2019,9,Europe,Model Y,6575.0,7546.0,96648.51,82,462,455.65,Interpolated (Month),10029,1,4,1
2025,12,Asia,Model 3,8406.0,8796.0,70798.2,82,463,583.8,Official (Quarter),13617,0,1,2
2019,7,North America,Cybertruck,9864.0,11217.0,64820.01,75,417,616.99,Interpolated (Month),12107,3,0,1
2016,2,Middle East,Model Y,11285.0,12244.0,101691.44,82,487,824.37,Estimated (Region),7849,2,4,0
2019,6,Europe,Model Y,8596.0,9054.0,97775.82,60,349,450.0,Official (Quarter),11583,1,4,2
2023,4,Middle East,Cybertruck,14542.0,16097.0,69145.2,82,455,992.49,Interpolated (Month),9672,2,0,1
2020,8,Asia,Model X,11637.0,11652.0,64097.94,75,448,782.01,Interpolated (Month),10360,0,3,1
2023,9,Middle East,Model Y,16368.0,18329.0,116163.28,82,475,1166.22,Interpolated (Month),6055,2,4,1
2015,1,Middle East,Model Y,10348.0,10835.0,85599.95,82,488,757.47,Estimated (Region),5991,2,4,0
2017,7,Asia,Model Y,8745.0,9321.0,92738.27,60,334,438.12,Official (Quarter),11083,0,4,2
2017,9,North America,Model Y,14122.0,16111.0,94546.2,100,566,1198.96,Estimated (Region),6234,3,4,0
2020,9,Asia,Cybertruck,4927.0,5124.0,85637.94,100,557,411.65,Estimated (Region),10339,0,0,0
2018,12,Asia,Model X,13841.0,14984.0,60720.12,82,480,996.55,Interpolated (Month),10203,0,3,1
2018,4,North America,Model Y,14998.0,15028.0,55711.91,120,675,1518.55,Interpolated (Month),3334,3,4,1
2024,4,Asia,Model Y,12693.0,13879.0,95107.73,75,439,835.83,Interpolated (Month),6511,0,4,1
2019,12,Middle East,Model 3,16992.0,17643.0,75519.65,82,485,1236.17,Interpolated (Month),5339,2,1,1
2020,4,Asia,Model Y,12896.0,14568.0,71655.8,82,479,926.58,Official (Quarter),3193,0,4,2
2018,6,Asia,Cybertruck,8089.0,8151.0,77845.54,75,431,522.95,Interpolated (Month),8799,0,0,1
2021,2,North America,Model Y,12392.0,14134.0,87091.29,60,348,646.86,Interpolated (Month),8789,3,4,1
2024,10,Middle East,Model X,11341.0,11531.0,90118.95,100,589,1001.98,Official (Quarter),7400,2,3,2
2021,12,Asia,Model S,14275.0,15487.0,83022.94,82,471,1008.53,Interpolated (Month),11786,0,2,1
2023,9,Europe,Cybertruck,10505.0,11889.0,74982.21,82,463,729.57,Interpolated (Month),5566,1,0,1
2019,12,Asia,Model S,16654.0,18544.0,92470.13,75,418,1044.21,Estimated (Region),12569,0,2,0
2025,11,Europe,Model 3,7803.0,8201.0,72269.28,60,358,419.02,Interpolated (Month),12468,1,1,1
2015,11,Middle East,Cybertruck,12029.0,12315.0,111660.95,100,593,1069.98,Interpolated (Month),3350,2,0,1
2017,7,North America,Model 3,19455.0,21752.0,81804.18,100,581,1609.9825,Estimated (Region),5980,3,1,0
2018,2,Middle East,Model S,5162.0,5239.0,51161.47,100,583,451.42,Estimated (Region),10229,2,2,0
2020,6,Middle East,Model X,14735.0,15380.0,62093.01,120,682,1507.39,Interpolated (Month),13930,2,3,1
2016,4,North America,Model Y,16513.0,16988.0,72636.01,75,420,1040.32,Interpolated (Month),7259,3,4,1
2023,1,Middle East,Cybertruck,16007.0,16938.0,76317.19,82,477,1145.3,Official (Quarter),8937,2,0,2
2022,3,Asia,Model 3,9544.0,10884.0,76473.74,60,347,496.77,Interpolated (Month),12504,0,1,1
2023,3,Middle East,Model 3,10215.0,11462.0,104380.22,82,483,740.08,Estimated (Region),11496,2,1,0
2018,11,Europe,Cybertruck,7886.0,8591.0,107006.87,100,569,673.07,Estimated (Region),4587,1,0,0
2019,12,Europe,Model 3,8432.0,8904.0,60598.73,75,442,559.04,Interpolated (Month),11486,1,1,1
2016,6,North America,Cybertruck,13984.0,15294.0,76735.77,100,560,1174.66,Official (Quarter),4456,3,0,2
2019,1,Middle East,Cybertruck,7244.0,7617.0,109643.39,82,473,513.96,Estimated (Region),9176,2,0,0
2018,3,North America,Cybertruck,1627.0,1708.0,77620.06,82,472,115.19,Estimated (Region),4936,3,0,0
2017,9,Europe,Model X,7844.0,7883.0,111543.0,75,421,495.35,Official (Quarter),9688,1,3,2
2024,9,North America,Model S,10739.0,12336.0,118825.12,75,436,702.33,Estimated (Region),8314,3,2,0
2024,3,Asia,Model S,9135.0,9417.0,117887.45,100,551,755.01,Estimated (Region),12429,0,2,0
2021,2,Europe,Model Y,16194.0,17499.0,108854.96,60,331,804.03,Official (Quarter),7401,1,4,2
2019,7,North America,Model S,10429.0,10716.0,57395.52,82,484,757.15,Official (Quarter),9945,3,2,2
2025,10,North America,Model S,834.0,903.0,67041.78,75,414,51.79,Estimated (Region),14270,3,2,0
2019,11,Asia,Model S,12742.0,13960.0,106127.81,120,687,1313.06,Interpolated (Month),7339,0,2,1
2019,1,Middle East,Model 3,16394.0,17095.0,94153.93,120,687,1609.9825,Estimated (Region),8784,2,1,0
2020,9,Middle East,Model X,7019.0,8016.0,79635.06,75,412,433.77,Estimated (Region),8308,2,3,0
2015,10,Asia,Model X,9719.0,10041.0,119136.76,82,489,712.89,Interpolated (Month),3473,0,3,1
2015,9,Asia,Cybertruck,10844.0,12086.0,59807.92,60,356,579.07,Interpolated (Month),8849,0,0,1
2020,9,North America,Cybertruck,13042.0,14469.0,78765.3,75,436,852.95,Estimated (Region),11391,3,0,0
2019,5,Middle East,Model Y,10628.0,11626.0,55269.51,120,666,1061.74,Estimated (Region),3591,2,4,0
2021,10,North America,Model X,14290.0,16239.0,51262.24,120,693,1485.45,Official (Quarter),12448,3,3,2
2025,8,North America,Model X,5547.0,5600.0,73125.04,120,673,559.97,Estimated (Region),13667,3,3,0
2019,4,Asia,Model Y,2017.0,2031.0,77040.14,100,567,171.55,Estimated (Region),6787,0,4,0
2017,10,Europe,Model Y,5477.0,6185.0,112026.54,120,671,551.26,Estimated (Region),11849,1,4,0
2015,7,Europe,Model Y,12003.0,13676.0,88973.4,120,694,1249.51,Estimated (Region),6359,1,4,0
2016,6,North America,Model S,8538.0,8629.0,50847.59,60,358,458.49,Estimated (Region),11850,3,2,0
2022,10,Asia,Model X,15871.0,17003.0,87563.63,120,706,1609.9825,Interpolated (Month),10935,0,3,1
2019,1,Europe,Model S,16562.0,17052.0,106362.21,60,335,832.24,Official (Quarter),4019,1,2,2
2019,8,Middle East,Model X,7950.0,8493.0,86261.07,75,412,491.31,Interpolated (Month),8072,2,3,1
2016,4,Europe,Model X,5161.0,5521.0,54209.96,100,578,447.46,Official (Quarter),14491,1,3,2
2017,8,Middle East,Model X,6555.0,7430.0,102498.45,75,446,438.53,Estimated (Region),12104,2,3,0
2016,8,North America,Model Y,13536.0,15492.0,89211.77,100,596,1210.12,Interpolated (Month),3627,3,4,1
2020,12,North America,Model S,385.0,400.0,92280.35,100,593,34.25,Interpolated (Month),14986,3,2,1
2025,9,Middle East,Cybertruck,7166.0,7176.0,66599.21,75,421,452.53,Official (Quarter),8064,2,0,2
2022,2,Europe,Model 3,10944.0,11395.0,55575.16,60,342,561.43,Estimated (Region),9651,1,1,0
2015,9,Middle East,Model X,3159.0,3625.0,86798.31,82,458,217.02,Interpolated (Month),6267,2,3,1
2016,10,Europe,Model 3,10280.0,10378.0,108196.15,100,579,892.82,Estimated (Region),4379,1,1,0
2025,7,Asia,Model S,8354.0,8972.0,70719.48,100,566,709.25,Interpolated (Month),14531,0,2,1
2023,2,Europe,Cybertruck,6820.0,7637.0,90643.38,100,588,601.52,Estimated (Region),6992,1,0,0
2018,10,North America,Model S,5201.0,5401.0,102648.0,120,690,538.3,Interpolated (Month),6850,3,2,1
2020,4,Asia,Model S,11089.0,11641.0,102110.95,75,418,695.28,Interpolated (Month),4563,0,2,1
2015,10,North America,Cybertruck,6202.0,6819.0,115578.08,60,351,326.54,Estimated (Region),5579,3,0,0
2025,6,Asia,Model S,11262.0,12586.0,112804.29,100,571,964.59,Estimated (Region),5808,0,2,0
2023,12,North America,Model S,8896.0,9145.0,104131.28,75,430,573.79,Estimated (Region),7213,3,2,0
2022,8,Europe,Model Y,1388.0,1438.0,77895.14,60,330,68.71,Interpolated (Month),12269,1,4,1
2025,12,Middle East,Model S,9394.0,10078.0,82633.32,120,699,984.96,Interpolated (Month),4241,2,2,1
2022,2,North America,Model X,13191.0,13201.0,89537.34,82,464,918.09,Interpolated (Month),6872,3,3,1
2018,11,Asia,Model S,7542.0,7881.0,94995.65,60,348,393.69,Interpolated (Month),11352,0,2,1
2019,2,Middle East,Model Y,6476.0,7157.0,78751.21,75,431,418.67,Estimated (Region),3088,2,4,0
2023,6,Europe,Model Y,9414.0,10245.0,59743.15,60,330,465.99,Estimated (Region),5943,1,4,0
2017,1,Europe,Cybertruck,6240.0,6540.0,83350.59,120,673,629.93,Interpolated (Month),10685,1,0,1
2018,10,Europe,Model Y,11109.0,11914.0,119082.72,82,481,801.51,Interpolated (Month),5983,1,4,1
2021,1,Asia,Model X,10798.0,11052.0,98343.59,120,690,1117.59,Official (Quarter),10807,0,3,2
2019,5,Asia,Model Y,12863.0,13082.0,95073.56,82,485,935.78,Interpolated (Month),9928,0,4,1
2024,12,Europe,Model 3,5881.0,6734.0,106798.53,120,666,587.51,Estimated (Region),4461,1,1,0
2025,7,Middle East,Model S,17474.0,19836.0,68258.46,120,712,1609.9825,Interpolated (Month),10730,2,2,1
2024,8,Middle East,Cybertruck,7408.0,8406.0,90693.75,100,567,630.05,Estimated (Region),5791,2,0,0
2025,1,North America,Model S,5949.0,6096.0,64285.11,120,701,625.54,Estimated (Region),14004,3,2,0
2024,4,Asia,Model S,6656.0,6776.0,110526.14,75,431,430.31,Estimated (Region),9865,0,2,0
2015,6,Middle East,Model Y,20337.625,21930.125,81318.87,82,472,1579.9,Interpolated (Month),5909,2,4,1
2022,6,Europe,Model Y,13128.0,13872.0,50567.57,120,660,1299.67,Estimated (Region),8526,1,4,0
2016,3,North America,Model 3,15502.0,16256.0,75652.31,100,569,1323.1,Estimated (Region),11345,3,1,0
2024,8,Asia,Model X,13506.0,13585.0,119158.79,82,478,968.38,Estimated (Region),11173,0,3,0
2018,4,Europe,Model X,20337.625,21930.125,78461.34,60,334,1075.8,Interpolated (Month),11576,1,3,1
2025,1,Middle East,Model S,9133.0,10371.0,113498.22,60,350,479.48,Official (Quarter),14114,2,2,2
2025,4,Europe,Model Y,12364.0,13649.0,110733.32,82,466,864.24,Official (Quarter),3518,1,4,2
2018,4,Asia,Model S,6475.0,7117.0,94359.81,120,695,675.02,Official (Quarter),3194,0,2,2
2024,7,Middle East,Cybertruck,11767.0,12485.0,68338.29,82,491,866.64,Estimated (Region),12566,2,0,0
2021,2,Europe,Model X,11811.0,13576.0,102555.32,82,477,845.08,Interpolated (Month),7263,1,3,1
2022,10,Europe,Model Y,15676.0,17413.0,93764.81,75,449,1055.78,Estimated (Region),9403,1,4,0
2016,7,Europe,Model 3,18246.0,20097.0,106349.23,75,422,1154.97,Estimated (Region),12900,1,1,0
2021,4,Europe,Cybertruck,11441.0,11747.0,55571.17,60,358,614.38,Interpolated (Month),6127,1,0,1
2017,4,Middle East,Model S,5656.0,5846.0,96413.3,120,704,597.27,Estimated (Region),13181,2,2,0
2020,10,Europe,Cybertruck,11466.0,11648.0,84494.69,60,334,574.45,Official (Quarter),14739,1,0,2
2022,9,North America,Cybertruck,1726.0,1857.0,51678.28,82,463,119.87,Interpolated (Month),12838,3,0,1
2020,12,Europe,Model X,1598.0,1741.0,106523.46,60,333,79.82,Official (Quarter),7767,1,3,2
2021,6,Middle East,Model Y,3973.0,4376.0,70270.79,100,578,344.46,Estimated (Region),3790,2,4,0
2015,11,North America,Model Y,15813.0,16654.0,70106.73,100,564,1337.78,Interpolated (Month),5803,3,4,1
2019,5,Middle East,Model X,12584.0,13581.0,82708.27,60,333,628.57,Interpolated (Month),10794,2,3,1
2022,11,North America,Model S,4638.0,5271.0,62220.88,60,338,235.15,Interpolated (Month),9202,3,2,1
2015,7,North America,Model S,7413.0,7546.0,112336.91,82,475,528.18,Official (Quarter),11149,3,2,2
2016,3,North America,Model Y,1386.0,1511.0,96774.9,100,580,120.58,Estimated (Region),8561,3,4,0
2017,5,Middle East,Model S,11634.0,12912.0,78316.92,60,332,579.37,Official (Quarter),12405,2,2,2
2021,1,Asia,Model S,6231.0,7073.0,77803.08,60,337,314.98,Interpolated (Month),8380,0,2,1
2022,1,Asia,Model X,12858.0,14363.0,102880.61,120,696,1342.38,Official (Quarter),10521,0,3,2
2021,7,Middle East,Model Y,16161.0,16229.0,107997.12,75,442,1071.47,Official (Quarter),6108,2,4,2
2016,2,Middle East,Model S,11459.0,11511.0,115166.41,120,701,1204.91,Official (Quarter),11118,2,2,2
2023,3,Asia,Model 3,13511.0,14683.0,98246.08,60,333,674.87,Interpolated (Month),12853,0,1,1
2016,1,Middle East,Model 3,14314.0,16247.0,79520.46,100,563,1208.82,Interpolated (Month),10108,2,1,1
2016,7,North America,Model S,9463.0,10543.0,52471.79,75,440,624.56,Official (Quarter),5429,3,2,2
2019,3,Asia,Model S,6614.0,6653.0,51529.27,120,706,700.42,Interpolated (Month),4613,0,2,1
2025,1,Asia,Model 3,15910.0,17075.0,68122.21,82,481,1147.91,Official (Quarter),11659,0,1,2
2022,1,North America,Cybertruck,17648.0,18986.0,107197.15,75,444,1175.36,Interpolated (Month),10387,3,0,1
2017,8,Europe,Cybertruck,10232.0,11717.0,54659.53,60,349,535.65,Interpolated (Month),3889,1,0,1
2020,11,Europe,Model X,8939.0,9066.0,118310.96,100,564,756.24,Estimated (Region),8085,1,3,0
2022,3,North America,Model 3,6634.0,7029.0,89992.4,60,358,356.25,Estimated (Region),9200,3,1,0
2019,1,Asia,Model S,4532.0,4860.0,80040.46,120,664,451.39,Estimated (Region),4273,0,2,0
2016,3,Europe,Model 3,15537.0,17431.0,100268.62,100,597,1391.34,Interpolated (Month),3218,1,1,1
2019,4,Europe,Cybertruck,10842.0,12009.0,76043.05,120,665,1081.49,Estimated (Region),8494,1,0,0
2018,8,Europe,Model X,15325.0,15719.0,86265.42,82,459,1055.13,Interpolated (Month),6399,1,3,1
2023,3,Asia,Model Y,9545.0,10805.0,112142.75,82,490,701.56,Estimated (Region),13412,0,4,0
2025,6,North America,Cybertruck,8313.0,8403.0,89817.31,75,433,539.93,Interpolated (Month),13199,3,0,1
2016,10,North America,Model Y,8787.0,9766.0,53370.0,120,714,941.09,Official (Quarter),13227,3,4,2
2023,5,Middle East,Model X,6438.0,6827.0,64542.45,100,582,562.04,Interpolated (Month),13454,2,3,1
2022,4,Europe,Model X,7427.0,7905.0,78551.94,75,416,463.44,Estimated (Region),11113,1,3,0
2023,1,Middle East,Model S,7039.0,7539.0,77416.66,60,357,376.94,Interpolated (Month),4507,2,2,1
2015,9,North America,Model X,7705.0,7747.0,83044.69,82,474,547.83,Official (Quarter),3788,3,3,2
2015,4,Europe,Model S,10522.0,11561.0,61405.41,82,453,714.97,Estimated (Region),10709,1,2,0
2022,8,Middle East,Model S,11018.0,11192.0,96536.54,100,564,932.12,Official (Quarter),5387,2,2,2
2021,11,Middle East,Model 3,10128.0,11258.0,85225.34,120,664,1008.75,Official (Quarter),11682,2,1,2
2018,2,North America,Model X,3942.0,4239.0,101204.05,120,717,423.96,Official (Quarter),5645,3,3,2
2020,7,Middle East,Cybertruck,20003.0,21930.125,69900.18,60,347,1041.16,Interpolated (Month),10041,2,0,1
2023,9,Asia,Model 3,13194.0,14916.0,75161.15,82,488,965.8,Official (Quarter),11383,0,1,2
2015,12,Asia,Model S,5915.0,5988.0,97634.95,82,477,423.22,Official (Quarter),6279,0,2,2
2022,4,Middle East,Model 3,5781.0,6585.0,81786.76,120,704,610.47,Estimated (Region),7406,2,1,0
2023,1,Europe,Cybertruck,9902.0,10828.0,82222.5,60,331,491.63,Estimated (Region),3173,1,0,0
2020,7,North America,Model 3,15597.0,17814.0,83261.96,75,424,991.97,Estimated (Region),12195,3,1,0
2021,7,North America,Model Y,477.0,539.0,63480.71,82,455,32.56,Official (Quarter),13773,3,4,2
2025,6,North America,Model Y,15994.0,16261.0,63100.15,60,345,827.69,Estimated (Region),13189,3,4,0
2018,9,Europe,Cybertruck,13280.0,14227.0,109436.86,60,341,679.27,Official (Quarter),5019,1,0,2
2020,3,Middle East,Model S,10855.0,11166.0,105335.95,75,429,698.52,Estimated (Region),6619,2,2,0
2020,10,Asia,Model Y,13412.0,14022.0,75380.82,75,414,832.89,Official (Quarter),14872,0,4,2
2016,7,Asia,Cybertruck,10563.0,11036.0,115847.55,120,675,1069.5,Estimated (Region),8155,0,0,0
2023,8,Middle East,Model S,14551.0,16389.0,66100.03,100,550,1200.46,Interpolated (Month),10815,2,2,1
2025,8,Europe,Model Y,11152.0,11731.0,104207.9,75,422,705.92,Estimated (Region),6943,1,4,0
2020,10,North America,Model X,11801.0,12368.0,88663.66,60,331,585.92,Interpolated (Month),3526,3,3,1
2016,3,Middle East,Model X,7228.0,7951.0,56687.47,120,697,755.69,Interpolated (Month),8421,2,3,1
2017,6,Middle East,Model Y,10303.0,10612.0,93174.85,100,587,907.18,Official (Quarter),11855,2,4,2
2021,11,Asia,Model 3,9950.0,10746.0,60068.41,75,412,614.91,Estimated (Region),12697,0,1,0
2018,2,Asia,Model 3,12334.0,14166.0,51803.87,82,475,878.8,Interpolated (Month),10914,0,1,1
2015,5,Middle East,Cybertruck,7602.0,8738.0,88880.22,120,706,805.05,Official (Quarter),14337,2,0,2
2021,6,Asia,Model S,5451.0,5887.0,107666.12,60,333,272.28,Interpolated (Month),14316,0,2,1
2020,7,Asia,Cybertruck,12018.0,12650.0,76376.74,100,576,1038.36,Estimated (Region),3002,0,0,0
2018,1,Middle East,Model 3,8629.0,9169.0,58145.09,120,696,900.87,Official (Quarter),14261,2,1,2
2019,5,Asia,Model S,7384.0,7641.0,84440.12,100,565,625.79,Official (Quarter),5181,0,2,2
2020,10,North America,Model S,10348.0,10789.0,53294.28,100,583,904.93,Interpolated (Month),13353,3,2,1
2017,3,Europe,Cybertruck,15491.0,16526.0,64642.98,100,552,1282.65,Interpolated (Month),13123,1,0,1
2020,9,Middle East,Cybertruck,7584.0,8336.0,80383.42,100,590,671.18,Estimated (Region),13866,2,0,0
2018,7,Europe,Model S,12659.0,12998.0,105825.98,60,350,664.6,Estimated (Region),9563,1,2,0
2024,9,North America,Model 3,19606.0,21050.0,97773.53,100,555,1609.9825,Interpolated (Month),6940,3,1,1
2017,8,Middle East,Model 3,11639.0,12722.0,101957.72,75,418,729.77,Estimated (Region),5339,2,1,0
2024,9,North America,Model Y,4373.0,4733.0,68988.8,120,696,456.54,Interpolated (Month),14726,3,4,1
2015,10,Europe,Model S,20337.625,20625.0,68358.48,120,695,1609.9825,Estimated (Region),3617,1,2,0
2023,8,North America,Model S,10325.0,10679.0,58513.6,82,465,720.17,Official (Quarter),6065,3,2,2
2021,9,Europe,Model X,7322.0,7942.0,110107.04,82,455,499.73,Estimated (Region),12427,1,3,0
2024,5,Asia,Model S,10131.0,10941.0,57004.53,100,579,879.88,Interpolated (Month),12340,0,2,1
2018,10,North America,Model Y,9362.0,10646.0,109071.56,60,352,494.31,Interpolated (Month),5013,3,4,1
2022,9,North America,Model X,13861.0,14807.0,98865.2,120,683,1420.06,Interpolated (Month),4918,3,3,1
2023,1,Europe,Model S,12892.0,13400.0,52502.39,82,479,926.29,Interpolated (Month),8905,1,2,1
2024,8,North America,Cybertruck,8278.0,9039.0,69077.18,100,563,699.08,Estimated (Region),4362,3,0,0
2020,2,Middle East,Model 3,9463.0,10065.0,100028.73,82,475,674.24,Interpolated (Month),6587,2,1,1
2017,2,Asia,Model 3,5991.0,6294.0,51352.93,75,417,374.74,Estimated (Region),7963,0,1,0
2023,7,Asia,Model 3,12374.0,13714.0,55953.05,75,420,779.56,Estimated (Region),3105,0,1,0
2020,4,Europe,Model S,14810.0,16490.0,105589.42,75,431,957.47,Official (Quarter),13736,1,2,2
2021,6,Asia,Cybertruck,4618.0,5183.0,106179.25,120,689,477.27,Official (Quarter),6581,0,0,2
2024,3,Europe,Model 3,13755.0,14448.0,70602.52,75,445,918.15,Official (Quarter),12563,1,1,2
2017,7,Europe,Model X,8880.0,9964.0,97959.4,82,455,606.06,Official (Quarter),6470,1,3,2
2025,8,Asia,Model 3,9563.0,10105.0,102342.21,82,488,700.01,Estimated (Region),12059,0,1,0
2019,3,North America,Cybertruck,12106.0,13118.0,53822.72,75,448,813.52,Official (Quarter),9151,3,0,2
2015,8,Asia,Model 3,10516.0,11614.0,114574.96,100,585,922.78,Interpolated (Month),4830,0,1,1
2022,3,Middle East,Model X,11191.0,12382.0,116541.44,120,674,1131.41,Estimated (Region),11953,2,3,0
2016,8,North America,Model 3,11469.0,11581.0,84129.98,120,662,1138.87,Official (Quarter),3751,3,1,2
2023,5,Asia,Cybertruck,8494.0,9483.0,93809.27,120,684,871.48,Interpolated (Month),6048,0,0,1
2018,1,Asia,Model 3,8115.0,9095.0,72972.56,75,420,511.24,Estimated (Region),4016,0,1,0
2019,5,North America,Model 3,6829.0,7204.0,77364.22,120,718,735.48,Official (Quarter),14455,3,1,2
2020,3,North America,Model 3,10391.0,11708.0,105935.75,120,690,1075.47,Official (Quarter),5794,3,1,2
2025,1,Europe,Model 3,14788.0,15440.0,103431.57,60,352,780.81,Official (Quarter),5949,1,1,2
2015,2,North America,Model Y,8689.0,8698.0,85752.31,120,685,892.79,Estimated (Region),5665,3,4,0
2015,8,Middle East,Model Y,787.0,894.0,75367.57,75,434,51.23,Estimated (Region),10587,2,4,0
2022,1,North America,Model 3,10388.0,10764.0,111340.46,60,330,514.21,Interpolated (Month),11789,3,1,1
2023,12,North America,Model X,11355.0,11397.0,76378.49,75,446,759.65,Estimated (Region),6295,3,3,0
2016,5,Asia,Model 3,364.0,393.0,65064.13,120,660,36.04,Interpolated (Month),5894,0,1,1
2024,8,Europe,Model X,10413.0,10457.0,51043.72,60,333,520.13,Official (Quarter),6019,1,3,2
2025,7,North America,Model Y,12448.0,12992.0,66408.4,60,345,644.18,Estimated (Region),4370,3,4,0
2023,5,North America,Model X,9251.0,9823.0,103497.19,82,474,657.75,Interpolated (Month),3852,3,3,1
2016,11,North America,Cybertruck,9155.0,10186.0,54970.54,82,454,623.46,Interpolated (Month),7257,3,0,1
2025,10,Europe,Model X,9986.0,10201.0,96271.89,60,349,522.77,Estimated (Region),13175,1,3,0
2021,9,North America,Model X,3727.0,3854.0,50806.82,120,667,372.89,Official (Quarter),6711,3,3,2
2018,11,Asia,Model X,7901.0,8031.0,111857.88,82,465,551.09,Interpolated (Month),11206,0,3,1
2017,9,North America,Model X,12043.0,13481.0,69036.22,120,701,1266.32,Estimated (Region),6168,3,3,0
2024,10,Asia,Model S,10792.0,10895.0,100028.12,82,472,764.07,Interpolated (Month),13810,0,2,1
2016,4,Asia,Model 3,8734.0,9416.0,93651.0,60,332,434.95,Official (Quarter),12063,0,1,2
2016,6,Asia,Model 3,7667.0,8535.0,82237.76,60,355,408.27,Estimated (Region),11741,0,1,0
2017,4,Europe,Model Y,9489.0,10197.0,64327.61,60,347,493.9,Estimated (Region),5233,1,4,0
2021,4,Asia,Model 3,11991.0,12463.0,58532.24,120,690,1241.07,Official (Quarter),10023,0,1,2
2023,1,Asia,Model X,10406.0,11745.0,77396.47,60,356,555.68,Estimated (Region),5882,0,3,0
2023,9,Middle East,Model 3,12121.0,13398.0,52940.4,120,714,1298.16,Estimated (Region),8813,2,1,0
2023,11,Middle East,Model X,10530.0,10951.0,80810.09,75,442,698.14,Interpolated (Month),10316,2,3,1
2016,4,Europe,Model 3,14910.0,17133.0,96328.74,100,577,1290.46,Estimated (Region),11767,1,1,0
2016,3,Europe,Model X,12255.0,12614.0,50529.4,75,436,801.48,Estimated (Region),13776,1,3,0
2017,11,Asia,Cybertruck,7450.0,7962.0,74585.36,120,665,743.14,Interpolated (Month),8833,0,0,1
2023,1,Middle East,Model Y,8340.0,9123.0,100931.53,100,583,729.33,Estimated (Region),8646,2,4,0
2017,8,Asia,Model S,14800.0,15762.0,119802.76,82,473,1050.06,Estimated (Region),6853,0,2,0
2025,4,Asia,Model S,8531.0,9254.0,94611.34,120,704,900.87,Interpolated (Month),5172,0,2,1
2023,6,North America,Model 3,9176.0,10500.0,95752.21,82,485,667.55,Official (Quarter),9302,3,1,2
2019,7,Asia,Cybertruck,11985.0,13202.0,97786.98,60,348,625.62,Estimated (Region),6193,0,0,0
2022,9,Europe,Model X,8462.0,9003.0,88641.27,60,336,426.48,Official (Quarter),11922,1,3,2
2022,2,Asia,Cybertruck,6490.0,6571.0,53659.35,60,337,328.07,Interpolated (Month),3890,0,0,1
2020,11,Middle East,Model Y,7457.0,7607.0,95132.97,75,425,475.38,Official (Quarter),11495,2,4,2
2023,12,Asia,Model X,8534.0,8672.0,85621.34,75,429,549.16,Official (Quarter),14418,0,3,2
2024,5,Europe,Model X,8375.0,9325.0,71668.72,82,488,613.05,Estimated (Region),10880,1,3,0
2019,1,Middle East,Model Y,9910.0,11266.0,92725.41,60,346,514.33,Official (Quarter),5996,2,4,2
2023,3,Middle East,Model X,4694.0,4872.0,110345.89,82,487,342.9,Official (Quarter),5329,2,3,2
2025,10,North America,Model Y,5998.0,6291.0,59349.08,60,344,309.5,Interpolated (Month),11960,3,4,1
2021,1,Middle East,Model X,7651.0,8241.0,64010.79,75,424,486.6,Interpolated (Month),10101,2,3,1
2021,9,Asia,Model 3,7479.0,7809.0,51068.54,82,460,516.05,Interpolated (Month),6383,0,1,1
2015,1,Asia,Model Y,12446.0,13885.0,55183.13,60,340,634.75,Official (Quarter),4390,0,4,2
2018,8,Asia,Model Y,9090.0,9771.0,97242.52,82,460,627.21,Interpolated (Month),12096,0,4,1
2019,7,Europe,Model X,8165.0,8713.0,78383.02,60,359,439.69,Official (Quarter),6506,1,3,2
2018,5,Europe,Model Y,16359.0,17254.0,94867.59,82,470,1153.31,Official (Quarter),5279,1,4,2
2024,7,North America,Model X,14181.0,15135.0,118547.38,82,490,1042.3,Estimated (Region),6949,3,3,0
2017,2,Asia,Cybertruck,12861.0,13866.0,118320.97,75,417,804.46,Interpolated (Month),3203,0,0,1
2016,9,Europe,Cybertruck,12186.0,13009.0,102417.84,75,436,796.96,Interpolated (Month),10451,1,0,1
2020,1,Middle East,Model 3,12862.0,12915.0,67265.95,100,572,1103.56,Estimated (Region),10542,2,1,0
2016,4,Asia,Model Y,9390.0,9760.0,75209.55,75,415,584.53,Interpolated (Month),14243,0,4,1
2023,8,Asia,Model 3,9162.0,9238.0,69917.84,120,709,974.38,Official (Quarter),3958,0,1,2
2019,3,Middle East,Model X,7494.0,7784.0,72152.0,120,665,747.53,Estimated (Region),6638,2,3,0
2018,9,Asia,Model S,10714.0,11018.0,100426.88,82,471,756.94,Official (Quarter),10251,0,2,2
